Words,Meaning
hanqaloocso,"hanqaloocso f.g3 (-saday, -satay) Si wax meel hoose ku jira loo eego hanqal laalaadin."
hanqaltaag¹,hanqaltaag¹ m.l 1. Si wax fog loo arko hanqalka oo kor loo taago. 2. Wax aan helitaankoodu sahlanayn oo la higsado.
hanqaltaag²,"hanqaltaag² f.mg1 (-gay, -gtay) U h.: Wax aan helitaankoodu sahlanayn higsasho."
hanqaltaagid,hanqaltaagid m.f.dh eeg hanqaltaag².
hanqar¹,"hanqar¹ m.l (-rro, m.dh) 1. Onkod, gugac. 2. Qarax, biriq."
hanqar²,"hanqar² f.mg1 (-ray, -rtay) Cod weyn oo sida gugaca iwm oo kale ah bixin."
hanqaraarac,"hanqaraarac m.l (-cyo, m.dh) ld hanga-raarac."
hanqaran¹,hanqaran¹ m.l ld hanqaarmid.
hanqaran²,"hanqaran² f.mg4 (-rnaa, -rnayd) ld hanqaaran²."
hanqarid,hanqarid m.f.dh eeg hanqar².
hanqarmid,hanqarmid m.dh ld hanqaarmid.
hanraar,"hanraar m.l (-rro, m.dh) ld harraan."
hansad,"hansad m.dh (-do, m.dh) Dhul gariir iyo dabayl xooggan oo ka dhasha meel qarax weyn iwm ku dhacay."
hantaaq,hantaaq m.dh meel cidla ah oo halis ah.
hantaaqayn,"hantaaqayn m.f.dh eeg hantaaqee. ld hataaqayn, hintaaqayn, nitaaqayn."
hantaaqee,"hantaaqee f.g2 (-qeeyay, -qaysay) 1. Qof hantaarurrayn. 2. Wax dhibaato gaarsiin. ld hataaqee, hintaaqee, nitaaqee."
hantaaqo,"hantaaqo m.dh 1. Turaanturro. 2. Wax lagu turaanturroodo. 3. Dhibaato. ld hataaqo, hintaaqo, nitaaqo."
hantaaqoo,"hantaaqoo f.mg3 (-ooday, -ootay) Hantaaqo la kulmid. ld hataaqoo, hintaaqoo, nitaaqoo."
hantaaqood,"hantaaqood m.f.dh eeg hantaaqoo. ld hataaqood, hitaaqood, nitaaqood."
hantaatac¹,hantaatac¹ m.l Hadal aan milgo lahayn. ld hantatac¹.
hantaatac²,"hantaatac² f.mg1 (-cay, -cday; -tici) Hadal aan milgo lahayn sheegid."
hantaaticid,hantaaticid m.f.dh eeg hantaatac². ld hantaticid.
hantaaturree,"hantaaturree f.g2 (-reeyay, -reysay) Wax ordaya ama soconaya turaanturro u dhigid."
hantaaturreyn,hantaaturreyn m.f.dh eeg hantaaturree.
hantaaturro,hantaaturro m.dh 1. Wax soconaya ama ordaya waxa horay u rida. 2. Dhibaato.
hantaluul,hantaluul m.dh Hamuungorayo.
hantaq,"hantaq m.l (-qyo, m.dh) Meel dhulka ka hoosaysa oo yara godan. ld hataq."
hantatac¹,hantatac¹ m.l ld hantaatac¹.
hantatac²,"hantatac² f.mg1 (-cay, -cday) ld hantaatac²."
hantaticid,hantaticid m.dh ld hantaaticid.
hanti¹,hanti¹ m.dh 1. Wax mood iyo nool ah ee cidi leedahay. 2. Maal badan.
hanti²,"hanti² f.g1/2 (-iyay, -iday/isay; -iyi) 1. Wax mas'uuliyaddooda ka adkaansho. 2. Wax lahaanshihiisa la wareegid."
hanti-abuur,hanti-abuur m.l Aruurin hanti ah. ld hanti- abuurid.
hanti-abuurad,hanti-abuurad m.l Aruursashada hanti ah. ld hanti-abuursasho.
hanti-abuurasho,hanti-abuurasho m.dh ld hanti-abuursad.
hanti-abuurid,hanti-abuurid m.dh ld hanti-abuur.
hantidhawr,"hantidhawr m.l 1. Xaafiis dawlad, hay'ad, qof iwm u qaabbilsan ilaalinta lacagta in sidii loogu talaggalay loo isticmaalay. 2. H. ah: qof xaafiiskaas ka shaqeeya."
hantiggelin,hantiggelin m.dh Maalggelin.
hantiggoosad,hantiggoosad m.l ld hantiggoosi.
hantiggoosi,hantiggoosi m.l Hab dhaqan-dhaqaale oo qalabka waxsoosaarka iyo faa'iidadaba dad gaar ahi leeyahay. ld hantigoosad.
hantigoosad-dawladeed,"hantigoosad-dawladeed m.l (siyaa.) Hab dhaqaale, ama siyaasad, ee hantida ganacsiga, iyo warshadaha ay leeyihiin dad gaar ah, oo aan ahayn dawlad, kuwaas oo ku tartama fa'idada."
hantihur¹,hantihur¹ m.l Hanti isku hallayn loo qaato iyadoo aan la isa siin.
hantihur²,"hantihur² f.mg1 (-ray, -rtay) ku hantihur: Hanti aan la isa siin si isku hallayn ah u qaadasho."
hantihurid,hantihurid m.f.dh eeg hantihur².
hantiile,"hantiile m.l (-layaal, m.l/dh) 1. Qof hanti leh. 2. Qof maaliyad badan leh."
hantin,hantin m.f.dh ld hantiyid.
hantiwadaag,hantiwadaag m.l Hab dhaqan-dhaqaale oo qalabka waxsoosaarka iyo waxa la soo saaraba dadweynuhu u simanyahay.
hantiwadaag-dawladeed,hantiwadaag-dawladeed m.l (siyaa.) Qaran siyaasaddiisa iyo dhaqaalahiisu ku nidaamsanyahay mabda'a hantiwadaagga.
hantiwadaagee,"hantiwadaagee f.g2 (-geeyay, -geysay) Hanti gaar ah hanti guud ka dhigid."
hantiwadaageyn,hantiwadaageyn m.f.dh eeg hantiwadaagee.
hantiwadaagnimo,hantiwadaagnimo m.dh Hantiwadaag ahaansho.
hantiyid,hantiyid m.f.dh eeg hanti². ld hantin.
hantiyoobid,hantiyoobid m.f.dh eeg hantiyow.
hantiyow,"hantiyow f.mg1 (-oobay, -owday; -oobi) U h.: wax uu qof leeyahay noqosho."
hantool,hantool m.l Naxash.
hanuun¹,hanuun¹ m.l Raacidda la raaco waddada toosan ee Eebbe jideeyey.
hanuun²,"hanuun² fk. Aad iyo aad, si weyn. Tus. “Beerka hanuun buu i xanuunayaa”."
hanuun³,"hanuun³ f.mg1 (-nay, -ntay) Qof xume u samayn jirey ka waantoobid."
hanuuni,"hanuuni f.g2 (-iyay, -isay) 1. Cid dawga san ku toosin. 2. Dhaqan, figrad, ama aragti cid ku barbaarin. 3. Cid meel aanay garanayn tusid."
hanuunid,hanuunid m.f.dh eeg hanuun³.
hanuunin,hanuunin m.f.dh eeg hanuuni. ld hanuunis.
hanuunis,hanuunis m.l ld hanuunin.
hanuuniye,"hanuuniye m.l (-yayaal, m.l/dh) Qof wax hanuuniya."
hanuunsan,"hanuunsan f.mg4 (-naa, -nayd) Wax hanuunsan ahaansho."
hanuunsanaan,hanuunsanaan m.f.dh eeg hanuunsan. ld hanuunsanaansho.
hanuunsanaansho,hanuunsanaansho m.l/dh ld hanuunsa-naan.
hanweyn,"hanweyn f.mg4 (-naa, -nayd) U h.: qab weyn lahaansho."
hanweynaan,"hanweynaan m.dh eeg hanweyn. ld han-weynaansho, hanweyni."
hanweynaansho,hanweynaansho m.l/dh 1. eeg hanweynow. 2. ld hanweyni.
hanweyni,"hanweyni m.dh Dareen qof ku dhaliya in uusan qaadan, waxyaabaha uu u qabo in aanay u qalmin; qab weyn leh. ld hanweynaan."
hanweynow,"hanweynow f.mg3 (-naaday, -naatay) Qof hanweyni qaba noqosho."
haq,haq m.dh Harraad iyo gaajo badan.
haqab,"haqab m.l Baahi, dan."
haqabbeel¹,haqabbeel¹ m.l Baahibeelidda wax laga baahibeelo. ld haqabbeelid.
haqabbeel²,"haqabbeel² f.mg1 (-eelay, -eeshay) Ka h.: wax inta looga baahanyahay ka qaadasho."
haqabbeelid,haqabbeelid m.f.dh eeg haqbbeel². ld haqqabbeel¹.
haqabtir¹,"haqabtir¹ m.l (-ray, -rtay) ld haqabtirid."
haqabtir²,"haqabtir² f.g1 (-ray, -rtay) Cid baahi tirid."
haqad,"haqad m.l (-dyo, m.dh) 1. Cad yar, beer ka mid ah oo qof maalin fali karo. 2. ldhardafin haqasho. 3. Qarar dhaadheer oo xeebaha ku yaal."
haqasho,haqasho m.f.dh eeg haqo. ld haqad (2).
haqi,"haqi f.g2 (-iyay, -isay) Cid harraad iyo gaajo ku dilid."
haqin,haqin m.f.dh eeg haqi.
haqo,"haqo f.mg3 (-qay, -qday) Haq u dhimasho."
haquuq¹,haquuq¹ m.l ld habuuq¹.
haquuq²,"haquuq² f.mg1 (-qay, -qday) ld habuuq²."
haquuqasho,haquuqasho m.dh ld habuuqasho.
haquuqid,haquuqid m.dh ld habuuqid.
haquuqo,"haquuqo f.g3 (-qday, -qatay) ld habuuqso."
har¹,"har¹ m.l (-rar, m.l) 1. Wax if qabtay hooska uu bixiyo. 2. Meel dusha ka dedan, waab, guri iwm hooskooda qabow."
har²,"har² f.g/mg1 (-ray, -rtay) 1. (f.g) Digo iwm meel ka xaarid. 2. (f.mg) Safar iwm dad u bixi lahaa mid ka mid ah ka baaqasho. 3. (f.mg) Qof dad uu la socday ka gaabin. 4. (f.mg) Wax la isticmaalay in yar ka baaqi noqosho. 5. (f.mg) U h.: qof dhintay xoolo ka dhaxlid."
haraa,haraa m.l 1. H. ah: Neef xoolo ah oo weligiiba ka hara xoolaha uu la soofo. 2. Baaqi. ld hardabaa.
haraaci¹,haraaci¹ m.l.kh ld hiraaci¹.
haraaci²,"haraaci² f.g2 (-iyay, -isay) ld hiraaci²."
haraacin,haraacin m.dh ld hiraacin.
haraahir¹,haraahir¹ m.l ld hiraahir¹.
haraahir²,"haraahir² f.mg1 (-ray, -rtay) ld hiraahir²."
haraahirid,haraahirid m.dh ld hiraahirid.
haraahirsan,"haraahirsan f.mg4 (-naa, -nayd) ld hiraahirsan."
haraahirsanaan,haraahirsanaan m.dh ld hiraahirsanaan.
haraahirsanaansho,haraahirsanaansho m.l/dh ld hiraahirsanaan.
haraanhir¹,haraanhir¹ m.l ld hiraahir¹.
haraanhir²,"haraanhir² f.mg1 (-ray, -rtay) ld hiraahir²."
haraanhirid,haraanhirid m.dh ld hiraahirid.
haraanhirsan,"haraanhirsan f.mg4 (-naa, -nayd) ld hiraahirsan."
haraanhirsanaan,haraanhirsanaan m.l ld hiraahirsanaan.
haraanhirsanaansho,haraanhirsanaansho m.l/dh ld hiraahir-sanaan.
haraaryo,haraaryo m.dh Neef-tuur xooluhu samee-yaan wakhtiga kulaylaha markay qooraxdu qabato.
haraaryoo,"haraaryoo f.mg3 (-ooday, -ootay) Haraaryo samayn."
haraaryood,haraaryood m.f.l eeg haraaryoo.
haraati¹,"haraati¹ m.l (-iyo, m.dh) Nooc ka mid ah warmaha waaweyn."
haraati²,haraati² m.dh Si xoog leh oo cagta wax loogu dhufto. ld harraati¹.
haraati³,"haraati³ f.g1/2 (-iyay, -iday/isay; -iyi) Si xoog leh cagta wax ugu dhufasho. ld harraati²."
haraatiggeelle,"haraatiggeelle m.l (-layaal, m.l/dh) Kobajaa."
haraatin,haraatin m.dh ld haraatiyid.
haraatiyid,"haraatiyid m.f.dh haraati³. ld haraatin, harraatin, harraatiyid."
harac,harac m.l.kh Hoos weyn oo qabow oo ay geedaha waaweyni yeeshaan.
harag,"harag m.l (-rgo/-rko, m.dh) Maqaar nafleyda oogada kore uga rogan."
haragmaqaar,"haragmaqaar m.l (-rro, m.dh) Harag si gaar ah loo tolay oo nafleyda irmaan oo ay ilmuhu ka dhinteen lagu godliyo; gandool."
haragwaxar,"haragwaxar m.l (-rro, m.dh) Maqaarka waxaraha oo inta la qalajiyey laysku tolay, oo gogol ahaan loo isticmaalo."
haram,"haram m.l (-mmo, m.dh) (xis.) Muuqaal adke ah."
haramayn,haramayn m.f.dh eeg haramee.
haramcad,"haramcad m.l Naasley duur joog ah, hilib ku nool ah, oo laga helo Afrika, una eg shabeel, laakiin ka jurmi weyn. ld haramcas."
haramcas,haramcas m.l ld haramcad.
harame,harame m.l Caws iyo nagaar iskood uga baxa beeraha. ld harammo.
haramee,"haramee f.g2 (-meeyay, -maysay) 1. Beer caws xun ka gurid. 2. Wax nijaasayn."
harammo,harammo m.dh Caws yaryar oo beeraha ka baxa oo dalagga guba haddii aan laga falin. ld harame.
haran,haran m.l Wax nijaaso leh.
harar¹,harar¹ m.l ld harrar¹.
harar²,harar² m.dh ld harrar².
harari,harari m.l.kh Nooc jaadka ka mid ah oo Harar ka baxa.
harati,"harati f.g2 (-iyay, -isay) ld hardi²."
haratin,haratin m.dh ld hardiyid.
harayn,harayn m.dh ld harin.
haraysan,"haraysan f.mg4 (-snaa, -snayd) Meel hoos leh ahaansho."
haraysnaan,haraysnaan m.f.dh eeg haraysan. ld haraysnaansho.
haraysnaansho,haraysnaansho m.l/dh ld haraysnaan.
harbi,"harbi f.g2 (-iyay, -isay) Wax biyo ku dhex jira horay u riixid."
harbin,harbin m.f.dh eeg harbi. ld harbis.
harbis,harbis m.l ld harbin.
hardabaa,hardabaa m.l ld haraa.
hardaf¹,hardaf¹ m.l 1. Nooc orodka fardaha ka mid ah. 2. ld hardafid.
hardaf²,"hardaf² f.mg1 (-fay, -ftay) Si hardaf ah u ordid."
hardafi,"hardafi f.g2 (-iyay, -isay) Si hardaf ah faras u ordisiin."
hardafid,hardafid m.f.dh eeg hardaf². ld hardaf¹ (2).
hardafin,hardafin m.f.dh eeg hardafi.
hardamid,"hardamid m.f.dh eeg hardan². ld hardan¹, hertamid, hertan¹."
hardan¹,hardan¹ m.l Isku dhufashada laba nafley madaxa isku dhuftaan. ld hardamid.
hardan²,"hardan² f.mg1 (-amay, -antay; -ami) Laba nafley madaxa ku dagaalamid. ld hertan²."
hardi¹,hardi¹ m.dh Madaxa oo wax lagu dhufto. ld herti¹.
hardi²,"hardi² f.g1/2 (-iyay, -iday/isay; -iyi) Madaxa ku dagaalamid. ld harati, herti²."
hardin,hardin m.dh ld hardiyid.
hardiyid,"hardiyid m.f.dh eeg hardi. ld haratin, hardin, hertin."
haree,"haree f.g2 (-eeyay, -eeysay) 1. Wax har u yeelid. 2. Wax iftiin ka qarin."
hareed,hareed m.l Timo ka soo baxa labada dhaban ee ragga. ld harreed.
hareef,"hareef m.dh (-fyo, m.l/dh) 1. Qof tabar daran. 2. Qof aan muuqaal wanaagsanayn. 3. Wax soo haray. 4. Derin duug ah."
hareer,"hareer m.dh (-ro, m.l) Dhinac; barbar."
hareerayn,hareerayn m.f.dh eeg hareeree.
hareeree,"hareeree f.g2 (-reeyay, -raysay) Wax dhinac kasta ka marid."
hareereysan,"hareereysan f.mg4 (-naa, -nayd) Wax hareer kasta looga meersan yahay ahaansho."
hareereysnaan,hareereysnaan m.f.dh eeg hareereysan. ld hareereysnaansho.
hareereysnaansho,hareereysnaansho m.l ld hareereysnaan.
hareeri,"hareeri m.l (hareeri, m.dh) Geed aan qodax lahayn, dhirta waaweyn ka mid ah oo toos u baxa."
hargaamee,"hargaamee f.g2 (-meeyay, -meysay) Si nac ku jiro qof wax u yeelid."
hargaameyn,hargaameyn m.f.dh eeg hargaamee.
hargaamo,hargaamo m.dh Si nacabnimo ah oo qof loo waxyeelleeyo.
hargaanti,"hargaanti m.l/dh (-iyo, m.l) 1. Qof ugaarsashada aad u yaqaan. 2. Qof hawlkar ah."
hargab¹,"hargab¹ m.l Xanuun qufac, hindhiso iyo xummad leh oo dadka ku dhaca; duray. ld hergeb."
hargab²,hargab² m.l Cudur muddo gaaban oo la is qaadsiiyo waxaana keena fiirus. Wuxuu ku dhacaa xubnaha neef mareenka.
hargab³,"hargab³ f.mg1 (-bay, -btay) Duray qaadid."
hargabid,hargabid m.f.dh eeg hargab³.
hargabsan,"hargabsan f.mg4 (-naa, -nayd) Wax hargab hayo ahaansho."
hargabsanaan,hargabsanaan m.f.dh eeg hargabsan. ld hargabsanaansho.
hargabsanaansho,hargabsanaansho m.l/dh ld hargabsanaan.
hargag¹,hargag¹ m.l ld xargag¹.
hargag²,"hargag² f.mg1 (-gay, -gtay) ld xargag²."
hargagid,hargagid m.dh ld xargagid.
hargal¹,"hargal¹ m.l 1. Waqtiga u dhexeeya duhurkii iyo casirkii. 2. ld hargelid. ld hargalmo, hergel¹, hergalmo."
hargal²,"hargal² f.mg1 (-alay, -ashay; -geli) 1. Qorrax hoos ka gelid. 2. U h.: cid waqti duhur ah u martiyid. ld hergel²."
hargalmo,hargalmo m.dh ld hargal.
hargaweylaalis,"hargaweylaalis m.dh (-syo/-so, m.l) Hargo weylo yaryar oo inta laysku tolay gogol laga dhigto."
hargeli,"hargeli f.g2 (-iyay, -isay) Xoolo meel hoos leh oo ay qorraxda ka galaan geyn. ld hergeli."
hargelid,"hargelid m.f.dh eeg hargal². ld hargal¹, hergelid."
hargelin,"hargelin m.f.dh eeg hargeli. ld hargelis, hergelin, hergelis."
hargelis,hargelis m.l ld hargelin.
hari,"hari f.g2 (-iyay, -isay) Wax meel hoos ah gayn."
harid,harid m.f.dh eeg har². ld haris².
harimayn,harimayn m.f.dh eeg harimee.
harimaysasho,harimaysasho m.f.dh eeg harimayso.
harimayso,"harimayso f.mg3 (-stay, -satay) Qado cunid."
harimee,"harimee f.g2 (-meeyay, -maysay) Qado bixin."
harimo,"harimo m.dh (-ooyin, m.l) 1. Cuntada harkii la cuno; qado. 2. Wax jirro awgeed loo takooro."
harin,"harin m.f.dh eeg hari. ld harayn, haris¹."
haris¹,haris¹ m.l ld harin.
haris²,haris² m.dh ld harid.
harjacsan,"harjacsan f.mg4 (-naa, -nayd) Wax si u kala laalaada ahaansho."
harjacsanaan,harjacsanaan m.f.dh eeg harjacsan. ld harjacsanaansho.
harjacsanaansho,harjacsanaansho m.l/dh ld harjacsanaan.
harjad¹,harjad¹ m.l 1. H. ah: qof sakaraad ah oo naftu dhibayso. 2. H. ah: qof mintid ah. 3. ld harjadid.
harjad²,"harjad² f.mg1 (-day, -dday) 1. Qof sakaraad hayo rafasho. 2. Qof mintidnimo dheeraad ah muujin."
harjadid,harjadid m.f.dh eeg harjad². ld harjad¹ (3).
harmataan,"harmataan m.l (juqr.) Dabayl xoog leh oo ka soo dhacda woqoogi-bari oo saamaysa galbeedka Afrika. Waxay si toos ah uga soo dhacdaa lamaddegaanka Saxara, waa kulayl, qallalayl, booryley - iyadoo sidaas u kulul una qallalan ayay haddana kala dillaacisaa jiridaha geedaha."
harmi,"harmi f.g2 (-iyay, -isay) 1. Wax nijaasayn. 2. Beer caws ka falid."
harmin,harmin m.f.dh eeg harmi.
haro,"haro m.dh (-ooyin, m.l) 1. Biyo badan oo fadhiya oo aala macaan oo dhinac walba dhul kaga wareegsanyahay; balli weyn.harsiimo 2. Hungowga ku dhaca herinta marka ugaar la soo waayo."
haro-folkaaneed,"haro-folkaaneed m.l (-dyo, m.dh) (jool.) Biyo-fadhiisin ku samaysmay karaytar folkaano oo cidhib go'ay."
harowsad,harowsad m.l ld harowsasho.
harowsasho,"harowsasho m.f.dh eeg harowso. ld harowsad, harowsi."
harowsi,harowsi m.l ld harowsasho.
harowso,"harowso f.g3 (-saday, -satay) Hadal been iyo khiyaamo ku jirto qof ka dhaadhicin."
haro-xeebeed,haro-xeebeed m.l/dh (juqr.) Biyo gun gaaban oo qayb ahaan ama dhammaan uu liid dhuleed dhuuban badda ka gooyo.
harqaamaan,harqaamaan m.f.dh eeg harqaaman. ld harqaamaansho.
harqaamaansho,harqaamaansho m.l/dh ld harqaamaan.
harqaaman,"harqaaman f.mg4 (-naa, -nayd) Wax tolan ahaansho."
harqaamasho,harqaamasho m.f.dh eeg harqaamo.
harqaamid,harqaamid m.f.dh eeg harqaan².
harqaamo,"harqaamo f.mg3 (-aantay, -aamatay) Maro iwm tolasho."
harqaan¹,"harqaan¹ m.l (-nno, m.dh) 1. Dhul beereed, aan carro madow ahayn, ee dhagxaanta iyo carro guduuddu ku badantahay, oo dhulka adablaha ah xagga dhagaxa ka xiga. 2. ld kharqaan, sharqaan. Makiinad dharka lagu tolo."
harqaan²,"harqaan² f.g1 (-aamay, -aantay) Dhar makiinad ku tolid."
harqaanle,"harqaanle m.l (-layaal, m.l/dh) Qof dharka makiinad ku tola. ld kharqaanle, sharqaanle."
harqaboobe,"harqaboobe m.l (-bayaal, m.l/dh) Galab ama subax marka qorraxdu gaabantahay."
harqad,"harqad m.dh (-do, m.l) 1. Gabal maro ah. 2. Galka barkinta. 3. ld harqasho."
harqasho,"harqasho m.f.dh eeg harqo. ld harqad (3), hirqad, hirqasho."
harqi,"harqi f.g2 (-iyay, -isay) 1. Cid biyo ku hafin. 2. Cid wax aad uga dhergin. 3. ld hirqi."
harqin,harqin m.f.dh eeg harqi. ld hirqin. ld harqis.
harqis,harqis m.l ld harqin.
harqo,"harqo f.mg3 (-qaday, -qatay) 1. Nafley biyo ku hafasho. 2. Nafley wax aad uga dhergid. ld hirqo."
harqood,"harqood m.l (-dyo, m.dh) Qalab ay jiidaan laba dibi oo beeraha lagu falo."
harqoodaal,"harqoodaal m.l (-llo, m.dh) Harka galabtii walxaha iyo nafleydu yeeshaan."
harraad¹,harraad¹ m.l Baahi biyo loo qabo.
harraad²,"harraad² f.mg1 (-day, -dday) Biyo u baahasho."
harraadan,"harraadan f.mg4 (-dnaa, -dnayd) 1. Wax harraad hayo ahaansho. 2. U h.: Wax, wax aad u jecel ahaansho. ld harraadsan."
harraadbeel¹,harraadbeel¹ m.l Cabidda la cabo wax oonka bi'iya.
harraadbeel²,"harraadbeel² f.mg1 (-eelay, -eeshay) Wax harraad ku ba'ayo cabbid."
harraadbeelid,harraadbeelid m.f.dh eeg harraadbeel².
harraadi,"harraadi f.g2 (-iyay, -isay) Nafley harraad badid."
harraadid,harraadid m.f.dh eeg harraad².
harraadin,harraadin m.f.dh eeg harraadi.
harraadnaan,"harraadnaan m.f.dh eeg harraadan. ld harraadnaansho, harraadsanaan, harraadsanaansho."
harraadnaansho,harraadnaansho m.l/dh ld harraadnaan.
harraadsan,"harraadsan f.mg4 (-naa, -nayd) ld harraadan."
harraadsanaan,harraadsanaan m.dh ld harraadnaan.
harraadsanaansho,harraadsanaansho m.l/dh ld harraadnaan.
harraadtir,"harraadtir f.g1 (-ray, -rtay) Nafley wax harraad ka bi'iya siin."
harraadtirid,harraadtirid m.f.dh eeg harraadtir.
harraan,"harraan m.l (-no, m.dh) Cayayaan lix lugoodle ah, dalalka kulul ku nool, oo dib sun xambaarsan oo uu wax ku qaniino leh. ld hanraar, harraar."
harraar,"harraar m.l (-rro, m.dh) ld harraan."
harraati¹,harraati¹ m.dh ld haraati¹.
harraati²,"harraati² f.g2 (-iyay, -isay) ld haraati²."
harraatin,harraatin m.dh ld haraatiyid.
harraatir,harraatir m.l Wax yar oo harraadka bi'iya.
harraatiyid,harraatiyid m.dh ld haraatiyid.
harrar¹,"harrar¹ m.l (-rro, m.dh) Gogol caws ka samaysan oo lagu seexdo ama guriga lagu dedo. ld harar¹."
harrar²,harrar² m.dh 1. Derin guryaha lagu dedo. 2. Dun dermooyinka lagu qurxiyo. ld harar².
harray,harray m.l Orgi markaas hooyadii goysay.
harreed,harreed m.l ld hareed.
harreemi,"harreemi f.g2 (-iyay, -isay) Cid baahan hanti yar ku taakulayn."
harreemin,harreemin m.f.dh eeg harreemi. ld harreemis.
harreemis,harreemis m.l ld harreemin.
harsad,harsad m.l ld harsasho.
harsan,"harsan f.mg4 (-naa, -nayd) Wax intoodii badnayd tagtay, wax ka haray ahaansho. Tus. “Waqtigii wax baa inooga harsan ee hawsha wada”."
harsanaan,harsanaan m.f.dh eeg harsan. ld har-sanaansho.
harsanaansho,harsanaansho m.l/dh ld harsanaan.
harsasho,"harsasho m.f.dh eeg harso. ld harsad, harsi."
harsi,harsi m.l ld harsasho.
harsiimo,harsiimo m.dh ld harsimo.
harsimo,harsimo m.dh Waqtiga maalinta bartankeeda ah ee qorraxdu ugu kulushahay. ld harsiimo.
harso,"harso f.mg3 (-saday, -satay) 1. Qorrax meel hoos ah ka gelid. 2. Goor maalin ah cid marti u noqosho. ld herso."
harsubaxeed,harsubaxeed m.l Hooska ay walxuhu yeeshaan subaxii marka ay qorraxdu ku dhacdo; hoos-horaad. ld harsubxeed.
harsubxeed,harsubxeed m.l ld harsubaxeed.
harti,harti m.l 1. Qori xabbad keliyaale ah oo la isticmaali jirey waayadii hore. 2. Awr; rati.
haruub,"haruub m.l (-bbo/byo, m.dh) 1. Daboolka haanta ama dhiisha. 2. Weelcaanoodka aan daboolka lahayn."
haruubgaal,"haruubgaal m.l (-llo, m.dh) Haruub weyn oo geela lagu liso."
haruubqori,"haruubqori m.l (-iyo, m.dh) Weel qori ka samaysan, dabool leh oo caanaha lagu kaydiyo. 2. Haruub qori la qoray ka samaysan."
haruuf¹,haruuf¹ m.l ld huruufid.
haruuf²,"haruuf² f.mg1 (-fay, -ftay) ld huruuf²."
haruufid,haruufid m.dh ld huruufid.
haruur¹,"haruur¹ m.l Nooc dalagga la beerto ka mid ah, la cuno, oo leh bal, sabuul, iyo miro yar-yar."
haruur²,haruur² m.dh Bari idaad oo subaggii la shiilay; shariir; shaxaroor.
harwaa,harwaa m.l Qof aan quusan.
harwaraable,harwaraable m.l Waqtiga kulul meelaha aan geedaha lahayn isgelinta iduhu ay madaxa isgeliyaan.
harwaraablee,"harwaraablee f.mg2 (-leeyay, -leysay) Waqti kulul meel aan dhir lahayn madaxa isgashasho(ido)."
harwaraableyn,harwaraableyn m.f.dh eeg harwaraablee.
haryuub,"haryuub m.dh (-byo, m.dh) 1. Duuduubka haragga dadka aad u duqoobay yeesho. 2. Buuryo."
has¹,has¹ m.l Bus fuula alaab aan mudda la isticmaalin.
has²,"has² f.g1 (-say, -stay) 1. Wax yasid. 2. Cid cabsi gelin. 3. Cid nijaaseyn."
hasad,hasad m.dh ld hansad.
hasan,"hasan f.mg4 (-snaa, -snayd) Wax nijaasi ku hallowday ahaansho."
hase-ahaatee,hase-ahaatee xi. ld hayeeshee.
haseyeeshee,haseyeeshee xi. ld hayeeshee.
hashuur,"hashuur m.l (-rro, m.dh) (juqr.) Xarriiqyo harayn oo gaagaaban oo khariidadda lagu dul sawiro si loo muujiyo farqiga u dhexeeya tiirada dhulka. Haddii tiiradu ay taagantahay xarriiqyadu waa dhumuc weynyihiin waana isku dhawyihiin; haddiise tiiradu ay sahlantahay, xarriiqyadu waa dhuudhuubanyihiin waana kala durugsanyihiin."
hasid,hasid m.f.dh eeg has².
hataaqayn,hataaqayn m.dh ld hantaaqayn.
hataaqee,"hataaqee f.g2 (-qeeyay, -qeysay) ld hantaaqee."
hataaqo,hataaqo m.dh ld hantaaqo.
hataaqoo,"hataaqoo f.mg3 (-ooday, -ootay) ld hantaaqoo."
hataaqood,hataaqood m.l ld hantaaqood.
hataq,hataq m.l ld hantaq.
hataticid,hataticid m.dh ld hantaaticid.
haw,haw m.dh.sh.r Cod lagu muujiyo hororidda ama haliilidda.
hąw,hąw m.dh.sh.r Cod lagu muujiyo dabeysha foorinteed.
hawaan,"hawaan m.l Wax la is yeelsiiyo; xoog; dirqi; sandulle, khasab."
hawaar¹,hawaar¹ m.l 1. Si bahardaad ah oo geelu u fariisto. 2. ld hawaarid.
hawaar²,"hawaar² m.dh (-ro, m.l) Jiitin weyn oo geela dheegga looga sunto."
hawaar³,"hawaar³ f.mg1 (-ray, -rtay) Si barraaq ah u fariisasho (neef geel ah)."
hawaaran,"hawaaran f.mg4 (-rnaa, -rnayd) 1. Neef geel ah wax hawaar leh ahaansho. 2. ld hawaarsan."
hawaari,"hawaari f.g2 (-iyay, -isay) Neef geel ah hawaar u yeelid."
hawaarid,hawaarid m.f.dh eeg hawaar³. ld hawaar¹ (2).
hawaarin,hawaarin m.f.dh eeg hawaari.
hawaarnaan,hawaarnaan m.f.dh eeg hawaaran. ld hawaarsanaan. ld hawaarnaansho.
hawaarnaansho,hawaarnaansho m.l/dh ld hawaarnaan.
hawaarsan,"hawaarsan f.mg4 (-naa, -nayd) Wax barraaq u fadhiya ahaansho. ld hawaaran."
hawaarsanaan,"hawaarsanaan m.f.dh eeg hawaarsan. ld hawaarnaan, hawaarnaansho, hawaarsanaansho."
hawaarsanaansho,hawaarsanaansho m.l/dh ld hawaarsanaan.
